psnr   , ssim   , mse   
psnr: 5.670800501934999, ssim: 0.011068173685034313, mse: 0.4212457275390625
psnr: 15.571028752636506, ssim: 0.1401371213744125, mse: 0.10720751762390136
psnr: 15.388343457616143, ssim: 0.1409601660811992, mse: 0.11020047187805176
psnr: 15.42399571629294, ssim: 0.14177761113440196, mse: 0.10972136497497559
psnr: 15.299013859365168, ssim: 0.14164371683288463, mse: 0.11199970245361328
psnr: 15.33385886694231, ssim: 0.1424698404777729, mse: 0.11152000427246093
psnr: 15.39489229567022, ssim: 0.14272488654246268, mse: 0.11147771835327148
psnr: 15.429849533943775, ssim: 0.1435572553570169, mse: 0.1110002040863037
psnr: 15.501420274082001, ssim: 0.1437955570097891, mse: 0.11079468727111816
psnr: 15.536468332205647, ssim: 0.1446363315992983, mse: 0.1103194808959961
psnr: 15.612227330224993, ssim: 0.1449206516987744, mse: 0.11002099990844727
psnr: 15.647519262563478, ssim: 0.14576817246651377, mse: 0.10954730987548827
psnr: 15.716220077288696, ssim: 0.146117073435236, mse: 0.10927790641784668
psnr: 15.751714153220773, ssim: 0.14697681129756193, mse: 0.10880661964416503
psnr: 15.816097631183519, ssim: 0.14742385933672578, mse: 0.108502836227417
psnr: 15.851686735342415, ssim: 0.14829494068053325, mse: 0.10803433418273926
psnr: 15.913133933226263, ssim: 0.14879345906060226, mse: 0.10768348693847657
psnr: 15.948935333854008, ssim: 0.14967666890610865, mse: 0.10721660614013671
psnr: 16.002941383588823, ssim: 0.15025609665851242, mse: 0.10689827919006348
psnr: 16.03891630906768, ssim: 0.15114148319230672, mse: 0.10643463134765625
psnr: 16.09518965041223, ssim: 0.15183231831584332, mse: 0.10602631568908691
psnr: 16.131396103911186, ssim: 0.15272956709453417, mse: 0.10556483268737793
psnr: 16.183096149167817, ssim: 0.15349802947008162, mse: 0.10517342567443848
psnr: 16.21954352473591, ssim: 0.15440358452290373, mse: 0.10471431732177734
psnr: 16.27379919676665, ssim: 0.15523402394891253, mse: 0.1042542552947998
psnr: 16.310388768006675, ssim: 0.15615665154369845, mse: 0.10379602432250977
psnr: 16.361268165608365, ssim: 0.15703597546614617, mse: 0.10337310791015625
psnr: 16.398077526427986, ssim: 0.15796861856698674, mse: 0.10291747093200683
psnr: 16.450947188786905, ssim: 0.1588971202870868, mse: 0.10244447708129883
psnr: 16.487945016730144, ssim: 0.159841781399527, mse: 0.10199102401733398
psnr: 16.535507412487714, ssim: 0.16080069936541033, mse: 0.10158168792724609
psnr: 16.572623718663117, ssim: 0.16175214745664654, mse: 0.10113211631774903
psnr: 16.62561322562989, ssim: 0.1627676683858353, mse: 0.1006382656097412
psnr: 16.662916445515165, ssim: 0.16373214983328818, mse: 0.10019109725952148
psnr: 16.70954481364599, ssim: 0.16475867532124897, mse: 0.09977725982666015
psnr: 16.747122916950346, ssim: 0.16573854632172297, mse: 0.09933117866516113
psnr: 16.798041991878346, ssim: 0.16680243417431123, mse: 0.09886359214782715
psnr: 16.835853807361893, ssim: 0.1678010760746097, mse: 0.0984187126159668
psnr: 16.884069772696005, ssim: 0.1688944003939658, mse: 0.09798727989196777
psnr: 16.922111661991384, ssim: 0.1699032077294294, mse: 0.09754497528076173
psnr: 16.97462188652493, ssim: 0.17105193921461465, mse: 0.09705732345581054
psnr: 17.012834830632876, ssim: 0.17207127785308238, mse: 0.09661837577819825
psnr: 17.06159393320801, ssim: 0.17324985157630782, mse: 0.09616652488708496
psnr: 17.100059733190246, ssim: 0.1742872984285375, mse: 0.09572855949401855
psnr: 17.150676233286713, ssim: 0.1754873644389477, mse: 0.09526222229003906
psnr: 17.18929690394024, ssim: 0.17653847131728945, mse: 0.09482640266418457
psnr: 17.24105092184766, ssim: 0.17777751766280578, mse: 0.09434212684631348
psnr: 17.2799827530798, ssim: 0.17884938404447134, mse: 0.09390652656555176
